year,world_gtco2,region,emissions_gtco2,pct_share
1993,22.75578698466023,India,0.6772992355708196,2.976382385840533
1993,22.75578698466023,United States,5.272850808250576,23.171471994376756
1993,22.75578698466023,European Union,3.6078690022262094,15.85473183001005
1993,22.75578698466023,Rest of World,10.276116982455859,45.15825793844455
1994,22.992946898531393,China,3.103738692903476,13.498655507710142
1994,22.992946898531393,India,0.7140637262017557,3.10557724224277
1994,22.992946898531393,United States,5.364279285279747,23.330107745442472
1994,22.992946898531393,European Union,3.5891933485520444,15.609975373714683
1994,22.992946898531393,Rest of World,10.221671845594372,44.45568413088994
1995,23.532083006182194,China,3.3616372347441406,14.28533646537365
1995,23.532083006182194,India,0.7604616205487809,3.231595011580562
1995,23.532083006182194,United States,5.425259695882842,23.054736354863074
1995,23.532083006182194,European Union,3.635527661862718,15.44923864541705
1995,23.532083006182194,Rest of World,10.349196793143712,43.97909352276566
1996,24.25816744906004,China,3.5088181468360924,14.464481516191583
1996,24.25816744906004,India,0.8236206411580834,3.395230257551863
1996,24.25816744906004,United States,5.612982751633382,23.138527522411323
1996,24.25816744906004,European Union,3.7203059783757366,15.336302654304134
1996,24.25816744906004,Rest of World,10.592439931056745,43.665458049541094
1997,24.40190570535728,China,3.5155942292319997,14.407047841596132
1997,24.40190570535728,India,0.8580111891397104,3.5161646778732516
1997,24.40190570535728,United States,5.688142511024653,23.310238879317765
1997,24.40190570535728,European Union,3.653909368334914,14.97386889554582
1997,24.40190570535728,Rest of World,10.686248407626003,43.792679705667034
1998,24.303777314257985,China,3.36458759405,13.843887518160154
1998,24.303777314257985,India,0.8757723404297196,3.6034412639056788
1998,24.303777314257985,United States,5.733280550498556,23.59008016064682
1998,24.303777314257985,European Union,3.644298458489585,14.994782133523051
1998,24.303777314257985,Rest of World,10.685838370790124,43.967808923764295
1999,24.853727678796318,China,3.5572746007987806,14.312841304017464
1999,24.853727678796318,India,0.9607629224211617,3.86566930658384
1999,24.853727678796318,United States,5.803917834036096,23.35230315968918
1999,24.853727678796318,European Union,3.5889615697091455,14.440335132387519
1999,24.853727678796318,Rest of World,10.942810751831136,44.02885109732201
2000,25.510552796846834,China,3.649226559252001,14.304772571228069
2000,25.510552796846834,India,0.9864446174803152,3.8668100426355405
2000,25.510552796846834,United States,6.010135927923955,23.559410788882715
2000,25.510552796846834,European Union,3.6002115613656605,14.11263640594513
2000,25.510552796846834,Rest of World,11.264534130824902,44.15637019130854
2001,25.70629344761658,China,3.728509817047192,14.50426847668655
2001,25.70629344761658,India,1.0005267110088407,3.8921469291077706
2001,25.70629344761658,United States,5.9077399353836695,22.981687139852593
2001,25.70629344761658,European Union,3.6569209890103465,14.225780921945425
2001,25.70629344761658,Rest of World,11.412595995166528,44.396116532407646
2002,26.276868728392017,China,4.103046353595998,15.614670058318927
